INFO:root:         3089015 function calls (3068914 primitive calls) in 7.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.024    0.024    6.705    6.705 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:70(fit)
      500    0.004    0.000    4.443    0.009 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:47(fit_base)
      500    0.004    0.000    4.210    0.008 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:48(<listcomp>)
     1000    0.008    0.000    4.197    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/tree/tree.py:1118(fit)
     1000    0.038    0.000    4.189    0.004 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/tree/tree.py:125(fit)
     1000    3.866    0.004    3.874    0.004 {method 'build' of 'sklearn.tree._tree.DepthFirstTreeBuilder' objects}
     1502    0.044    0.000    1.214    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/distns/normal.py:9(__init__)
     1502    0.002    0.000    1.170    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:770(__call__)
     1502    0.003    0.000    1.168    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:753(freeze)
     1502    0.011    0.000    1.165    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:422(__init__)
      500    0.017    0.000    1.151    0.002 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:53(line_search)
     1502    0.038    0.000    1.149    0.001 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:1552(__init__)
     6000    0.052    0.000    0.727    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/validation.py:332(check_array)
     1502    0.017    0.000    0.710    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:702(_construct_doc)
     3004    0.239    0.000    0.647    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/_lib/doccer.py:12(docformat)
     4000    0.014    0.000    0.644    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/tree/tree.py:406(predict)
34506/22506    0.028    0.000    0.622    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     4000    0.007    0.000    0.499    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/tree/tree.py:388(_validate_X_predict)
     1500    0.003    0.000    0.404    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/scores.py:7(loss)
     6000    0.052    0.000    0.398    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/validation.py:36(_assert_all_finite)
     1500    0.003    0.000    0.383    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/distns/normal.py:22(nll)
     1500    0.006    0.000    0.354    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:445(logpdf)
     1500    0.123    0.000    0.348    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:1734(logpdf)
     6000    0.016    0.000    0.320    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sklearn/utils/extmath.py:663(_safe_accumulator_op)
     1502    0.019    0.000    0.302    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:622(_construct_argparser)
    15002    0.291    0.000    0.291    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     9000    0.020    0.000    0.288    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:73(_wrapreduction)
     6000    0.006    0.000    0.284    0.000 <__array_function__ internals>:2(sum)
     6000    0.010    0.000    0.272    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2045(sum)
      500    0.004    0.000    0.227    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:93(<listcomp>)
      500    0.004    0.000    0.226    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:49(<listcomp>)
        2    0.000    0.000    0.224    0.112 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:128(pred_dist)
        3    0.015    0.005    0.222    0.074 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/ngboost/ngboost.py:32(pred_param)
     4506    0.022    0.000    0.215    0.000 /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/scipy/_lib/_util.py:270(getargspec_no_self)
    40017    0.204    0.000    0.210    0.000 {built-in method numpy.array}
